,mod,precision
0,0.0,0.287
1,0.106157405149149,0.188
2,0.13498479917267825,0.176
3,0.16825550633526415,0.1615
4,0.20560054502184713,0.1785
5,0.23390445095895473,0.1745
6,0.2603090056907585,0.193
7,0.283941744227161,0.1805
8,0.3049627488045574,0.164
9,0.32982896197362777,0.183
10,0.35179138851114183,0.1805
11,0.3732551477977056,0.185
12,0.39331832109023784,0.1865
13,0.4147453678314135,0.1865
14,0.43503211905985234,0.187
15,0.45880467179444734,0.1765
16,0.4802095992864212,0.1905
17,0.5008481678143804,0.2005
18,0.5209027729805625,0.1805
19,0.5411560240109883,0.199
20,0.5612909865333744,0.2025
21,0.5830008741666777,0.1765
22,0.6051438886870046,0.1945
23,0.6270601781297115,0.1935
24,0.6484651056216854,0.1885
25,0.6691930068556423,0.1995
26,0.6891965101072439,0.2
27,0.7098215454941873,0.21
28,0.7306435266880793,0.203
29,0.7512563805019418,0.21
30,0.7714232029329315,0.1865
31,0.7918739045220518,0.208
32,0.8122157941975631,0.197
33,0.8328568659317196,0.214
34,0.8533907801074903,0.1985
35,0.8735508933154197,0.2085
36,0.8936180365260774,0.2145
37,0.9141240481571252,0.2015
38,0.9366657708813168,0.2
39,0.957496632067129,0.2105
40,0.9786830077649822,0.203
41,1.0,0.216
